time, temperature, dwpf, humidity, direction, speed, precipitation, pressure,total count,arrest rate,sex offense,theft,assault and battery,burglary,robbery,substance,homicide,gambling,prostitution,arson,domestic violence,others
1/1/01,17.58333333,11,75.65333333,311.25,6.875,0,29.79416667,2,1,1,2,2,2,1,1,2,1,2,1,1,2
1/2/01,12.08333333,7,79.93458333,231.8518519,9.222222222,0,29.795,1,2,2,1,1,1,1,2,1,1,1,1,1,1
1/3/01,24.70833333,21.58333333,87.74333333,248.1081081,9.189189189,0,29.4225,1,2,1,1,1,2,2,1,1,1,1,1,1,1
1/4/01,28.75,23.91666667,82.13083333,229.6296296,12.25925926,0,29.13166667,1,2,2,1,1,2,2,1,2,1,2,1,1,1
1/5/01,29.45833333,21.20833333,71.37583333,283.6,10.16,0.05,29.08458333,1,2,2,1,1,2,2,2,1,1,1,2,1,2
1/6/01,29.70833333,23.41666667,77.54625,226.5384615,8.307692308,0.0125,29.0425,1,2,1,1,1,1,2,2,2,1,2,2,1,1
1/7/01,27.58333333,20.375,74.30833333,312.5925926,8.851851852,0,29.25958333,1,2,1,1,1,2,1,2,1,2,1,1,1,1
1/8/01,21.08333333,12.54166667,69.44625,302.1428571,8.535714286,0,29.47541667,1,2,2,1,1,2,1,2,1,1,1,2,1,1
1/9/01,20.54166667,13.58333333,74.25166667,257.5,10.54166667,0,29.57166667,1,2,2,1,1,2,1,1,2,1,1,2,1,1
1/10/01,28.83333333,21.125,72.925,212.0833333,8.375,0,29.45958333,1,2,2,1,1,1,1,1,2,1,2,1,1,1
1/11/01,31.125,24.375,76.32708333,213.4615385,4.807692308,0,29.44541667,1,2,2,1,1,2,1,2,2,1,2,1,2,1
1/12/01,34.08333333,30.75,87.53041667,208.4375,5.03125,0,29.54416667,2,2,1,2,1,1,1,2,1,2,2,2,1,2
1/13/01,34.45833333,30.75,86.29208333,148.3870968,7.516129032,0.06,29.43375,1,2,1,1,1,2,1,2,1,1,1,2,1,1
1/14/01,36.16666667,33.45833333,90.16041667,190,8.461538462,0.012,29.20666667,1,2,2,1,1,2,1,1,2,1,1,1,1,1
1/15/01,33.33333333,29.95833333,87.40291667,262.4324324,12.10810811,0,29.33541667,1,2,2,2,1,1,1,2,1,1,1,1,1,1
1/16/01,27.70833333,23.70833333,84.77166667,263.7142857,7.828571429,0,29.5725,1,2,1,2,1,1,2,2,2,2,2,1,1,1
1/17/01,23.25,19.41666667,85.18208333,225.625,7.625,0,29.53208333,1,2,1,2,1,1,1,2,1,1,2,2,1,1
1/18/01,27.20833333,22.16666667,81.35125,258.3870968,7.870967742,0,29.32583333,1,2,1,1,1,1,2,2,1,1,2,1,1,1
1/19/01,23.41666667,17.45833333,77.70583333,311.7241379,11.55172414,0,29.50041667,1,2,2,2,1,1,2,1,1,2,2,1,1,1
1/20/01,18.33333333,10.16666667,70.78541667,266.6666667,7.458333333,0,29.55958333,1,2,2,1,1,2,2,2,2,1,1,2,1,2
1/21/01,20.16666667,12.875,73.49875,214.4,4.72,0,29.66166667,1,2,2,1,1,2,1,2,2,1,2,1,1,1
1/22/01,26.41666667,19.875,76.42666667,224.1666667,6.625,0,29.61541667,1,2,2,1,1,1,1,2,1,1,2,1,1,1
1/23/01,28,21.70833333,77.44666667,265,6.875,0,29.45208333,1,2,2,1,1,1,1,2,1,1,2,2,1,1
1/24/01,23.33333333,15.04166667,70.48416667,318.4848485,11.48484848,0,29.59083333,1,2,2,1,1,1,1,1,1,1,2,1,1,1
1/25/01,22.83333333,12.83333333,65.43333333,227.9166667,9.041666667,0,29.63125,1,2,2,1,1,2,1,2,1,1,2,1,1,1
1/26/01,27.79166667,22.25,79.8425,243.1818182,11.22727273,0,29.23958333,1,2,1,1,1,1,2,2,1,1,1,1,1,2
1/27/01,19.875,11.5,69.66916667,267.5,9.791666667,0,29.60833333,1,2,2,1,1,2,1,2,1,1,1,1,1,1
1/28/01,26.45833333,21.625,82.29625,171.3888889,6.027777778,0,29.54541667,1,2,1,1,1,2,1,2,1,2,2,2,1,1
1/29/01,37.45833333,34.79166667,90.01125,135.6410256,9.974358974,0.047692308,28.9475,1,2,2,1,1,1,1,1,1,1,1,2,1,1
1/30/01,35.29166667,32.83333333,90.67791667,208.974359,7.743589744,0.02,28.7825,1,2,2,1,1,1,1,2,2,2,1,2,1,1
1/31/01,31.625,27.125,83.36791667,261.25,10.0625,0,29.21541667,1,2,1,1,1,1,1,2,1,1,1,2,1,1
2/1/01,18.45833333,9.875,69.28416667,268.9285714,11.35714286,0,29.47166667,1,1,1,2,1,1,1,1,1,1,1,2,1,2
2/2/01,10.25,2.166666667,69.49791667,231.1538462,9,0,29.59791667,1,2,1,1,1,1,1,2,1,1,1,1,1,1
2/3/01,28.125,21.41666667,75.78291667,181.7857143,9.178571429,0.01,29.3675,1,2,2,1,1,2,1,2,1,1,2,2,1,1
2/4/01,33.20833333,29.41666667,85.84541667,278.1578947,7.052631579,0.01,29.29875,1,2,2,1,1,1,1,2,1,1,2,1,1,1
2/5/01,30.95833333,26.95833333,85.07375,236.8421053,8.631578947,0.036666667,29.26458333,1,2,2,1,1,1,1,2,1,1,2,1,1,2
2/6/01,29.66666667,24.04166667,80.14875,171.5384615,4.038461538,0,29.45208333,1,2,1,1,1,2,1,2,1,1,2,1,1,1
