ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9755214,HX403555,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,02/26/2015 04:12:26 PM,,,
9754973,HX403527,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,02/26/2015 04:12:26 PM,,,
9748516,HX397222,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,02/26/2015 04:12:26 PM,,,
9748492,HX397219,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,02/26/2015 04:12:26 PM,,,
9755248,HX403559,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
9755238,HX403557,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
9755231,HX403556,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
9755180,HX403550,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
9755169,HX403549,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
9755072,HX403533,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
9754963,HX403524,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
9747360,HX397217,01/01/2001 12:00:00 AM,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,,24,29,17,,,2001,12/04/2014 12:50:41 PM,,,
5233406,HN115018,01/01/2001 12:00:00 AM,009XX W ADAMS ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,true,false,1213,012,2,28,06,1169996,1899330,2001,12/04/2014 12:43:35 PM,41.879258911,-87.651262835,"(41.879258911, -87.651262835)"
2443081,HH766202,01/01/2001 12:00:00 AM,049XX S WOODLAWN AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,2124,,4,39,06,1185031,1872477,2001,12/04/2014 12:43:35 PM,41.805231607,-87.596903083,"(41.805231607, -87.596903083)"
1570587,G331192,01/01/2001 12:00:00 AM,031XX N LAKE SHORE DR,0810,THEFT,OVER $500,APARTMENT,false,false,2332,,,,06,1173387,1921111,2001,12/04/2014 12:43:35 PM,41.938952432,-87.638163582,"(41.938952432, -87.638163582)"
