station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MDW,2000-12-31 23:53,-87.7524,41.7860,15.00,11.00,83.84,320.00,3.00,M,29.70,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 00:53,-87.7524,41.7860,15.00,11.00,83.84,310.00,4.00,M,29.71,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 01:53,-87.7524,41.7860,14.00,11.00,87.59,280.00,3.00,M,29.72,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 02:53,-87.7524,41.7860,18.00,12.00,76.97,320.00,4.00,M,29.73,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 03:53,-87.7524,41.7860,21.00,14.00,73.94,320.00,6.00,M,29.74,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 04:53,-87.7524,41.7860,23.00,14.00,67.96,320.00,7.00,M,29.74,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 05:53,-87.7524,41.7860,25.00,17.00,71.22,330.00,7.00,M,29.73,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 06:53,-87.7524,41.7860,26.00,15.00,62.64,330.00,11.00,M,29.72,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 07:53,-87.7524,41.7860,25.00,15.00,65.30,330.00,12.00,M,29.72,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 08:53,-87.7524,41.7860,25.00,14.00,62.50,330.00,11.00,M,29.73,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 09:53,-87.7524,41.7860,24.00,12.00,59.67,320.00,8.00,M,29.74,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 10:53,-87.7524,41.7860,22.00,10.00,59.38,320.00,8.00,M,29.75,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 11:53,-87.7524,41.7860,20.00,13.00,73.84,310.00,7.00,M,29.78,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 12:53,-87.7524,41.7860,19.00,11.00,70.53,310.00,8.00,M,29.79,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 13:53,-87.7524,41.7860,17.00,10.00,73.52,300.00,8.00,M,29.81,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 14:53,-87.7524,41.7860,16.00,11.00,80.27,310.00,6.00,M,29.82,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 15:53,-87.7524,41.7860,15.00,9.00,76.68,310.00,6.00,M,29.83,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 16:53,-87.7524,41.7860,14.00,8.00,76.58,310.00,7.00,M,29.84,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 17:53,-87.7524,41.7860,13.00,9.00,83.70,300.00,7.00,M,29.84,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 18:53,-87.7524,41.7860,13.00,8.00,80.02,300.00,6.00,M,29.85,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 19:53,-87.7524,41.7860,12.00,9.00,87.48,310.00,7.00,M,29.87,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 20:53,-87.7524,41.7860,12.00,8.00,83.63,300.00,6.00,M,29.89,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 21:53,-87.7524,41.7860,12.00,8.00,83.63,290.00,5.00,M,29.89,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 22:53,-87.7524,41.7860,11.00,8.00,87.42,310.00,7.00,M,29.90,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-01 23:53,-87.7524,41.7860,10.00,7.00,87.37,300.00,4.00,M,29.92,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 00:53,-87.7524,41.7860,10.00,7.00,87.37,290.00,5.00,M,29.93,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 01:53,-87.7524,41.7860,9.00,6.00,87.31,250.00,3.00,M,29.94,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 02:53,-87.7524,41.7860,11.00,7.00,83.56,230.00,5.00,M,29.96,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 03:53,-87.7524,41.7860,13.00,8.00,80.02,250.00,5.00,M,29.96,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 04:53,-87.7524,41.7860,18.00,11.00,73.63,240.00,7.00,M,29.95,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 05:53,-87.7524,41.7860,20.00,11.00,67.58,250.00,12.00,M,29.93,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 06:53,-87.7524,41.7860,19.00,11.00,70.53,250.00,11.00,M,29.92,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 07:53,-87.7524,41.7860,18.00,11.00,73.63,240.00,10.00,M,29.89,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 08:53,-87.7524,41.7860,17.00,9.00,70.30,240.00,9.00,M,29.87,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 09:53,-87.7524,41.7860,15.00,8.00,73.30,230.00,10.00,M,29.86,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 10:53,-87.7524,41.7860,12.00,6.00,76.38,250.00,11.00,M,29.86,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 11:53,-87.7524,41.7860,10.00,5.00,79.76,240.00,10.00,M,29.85,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 12:53,-87.7524,41.7860,9.00,5.00,83.41,230.00,6.00,M,29.85,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 13:53,-87.7524,41.7860,8.00,5.00,87.25,220.00,7.00,M,29.82,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 14:53,-87.7524,41.7860,8.00,4.00,83.34,220.00,7.00,M,29.80,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 15:53,-87.7524,41.7860,7.00,4.00,87.20,210.00,9.00,M,29.77,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 16:53,-87.7524,41.7860,7.00,3.00,83.27,210.00,9.00,M,29.74,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 17:53,-87.7524,41.7860,7.00,2.00,79.50,210.00,11.00,M,29.70,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 18:53,-87.7524,41.7860,9.00,3.00,76.08,230.00,10.00,M,29.66,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 19:19,-87.7524,41.7860,M,M,M,220.00,11.00,M,M,M,M,16.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 19:53,-87.7524,41.7860,12.00,6.00,76.38,220.00,12.00,M,29.63,M,M,17.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 20:53,-87.7524,41.7860,10.00,5.00,79.76,210.00,12.00,M,29.58,M,M,0.00,M,M,M,M,M,M,M,M,M,M
MDW,2001-01-02 21:31,-87.7524,41.7860,M,M,M,220.00,10.00,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M
